gsis_id,season,metric_raw,volume,success_rate,total_epa,team,position_group,metric_secondary,mean_season,sd_season,z_score,years_exp,age,prev_team,changed_team,years_since_change,transition_season,new_team,rel_time,post_transition,phase,team_pos_avg,team_quality,team_pass_epa_per_play,team_rush_epa_per_play,team_sack_rate,pre_trend_slope
00-0031387,2019,7.211538461538462,52,0.5,NA,IND,WR_TE,NA,7.735202054584536,1.6128011154285213,-0.3246919834296723,5,26.392881587953458,IND,0,1,2018,IND,1,1,Post,-0.5084484725652512,-0.05039257928505185,-0.05039257928505185,0.04214430945576882,0.05850091407678245,-1.1437419433517053
00-0031428,2016,5.822368421052632,152,0.4276315789473684,NA,JAX,WR_TE,NA,7.368154466071593,1.475240900789155,-1.0478194064386839,2,23.02258726899384,JAX,0,0,2018,CHI,-2,0,Pre,-0.8865381912724075,-0.0695110248444948,-0.0695110248444948,-0.10625460264646142,0.051437216338880445,0
00-0031428,2018,7.936842105263158,95,0.49473684210526314,NA,CHI,WR_TE,NA,7.810849650679093,1.5945394612278165,0.0790149492362195,4,25.021218343600275,JAX,1,1,2018,CHI,0,1,Post,-0.06316632257294115,0.06762202132299214,0.06762202132299214,-0.03624840101017066,0.059999999999999956,0
00-0031428,2019,7.4480519480519485,154,0.577922077922078,NA,CHI,WR_TE,NA,7.735202054584536,1.6128011154285213,-0.17804433775846681,5,26.02053388090349,CHI,0,1,2018,CHI,1,1,Post,-0.7554747941940203,-0.05138152293773727,-0.05138152293773727,-0.15736603151473894,0.07188498402555912,0
00-0031503,2024,-0.0933487546357261,327,NA,NA,CLE,QB,0.4159021406727829,0.01967318518647558,0.14199634395299676,-0.7959496468417094,9,30.652977412731005,TB,1,1,2024,CLE,0,1,Post,-1.3340492384879055,-0.0897959183673468,-0.2449745185778951,-0.06610243469721959,0.0897959183673468,NA
00-0031544,2016,8.57037037037037,135,0.45925925925925926,NA,LV,WR_TE,NA,7.368154466071593,1.475240900789155,0.8149285338114414,1,22.209445585215605,LV,0,0,2018,DAL,-2,0,Pre,-0.3534536762755107,0.09813846186262977,0.09813846186262977,-0.07717364187737098,0.028985507246376836,-1.0799351523227805
00-0031544,2017,6.979166666666667,96,0.38541666666666663,NA,LV,WR_TE,NA,7.3765744897261225,1.4996147088396286,-0.2650066185113386,2,23.208761122518823,LV,0,0,2018,DAL,-1,0,Pre,-0.24163896579254773,-0.023597778472312255,-0.023597778472312255,-0.1060722521536137,0.04109589041095893,-1.0799351523227805
00-0031544,2018,9.392523364485982,107,0.5887850467289719,NA,DAL,WR_TE,NA,7.810849650679093,1.5945394612278165,0.9919313709483106,3,24.20807665982204,LV,1,1,2018,DAL,0,1,Post,-0.12252827216951727,0.02647519831103136,0.02647519831103136,-0.00927596615124104,0.09589041095890416,-1.0799351523227805
00-0031544,2019,9.991596638655462,119,0.6302521008403362,NA,DAL,WR_TE,NA,7.735202054584536,1.6128011154285213,1.3990532139924778,4,25.207392197125255,DAL,0,1,2018,DAL,1,1,Post,0.40308775922367784,0.18412181832131114,0.18412181832131114,0.029183076799157985,0.036977491961414775,-1.0799351523227805
00-0031547,2021,7.054794520547945,73,0.49315068493150677,NA,MIA,WR_TE,NA,7.489855865136989,1.6020349236130609,-0.27156795284328267,6,28.61327857631759,MIA,0,0,2023,NE,-2,0,Pre,-0.7833769990625199,-0.011636796572629105,-0.011636796572629105,-0.13146554364312713,0.06079027355623106,0
00-0031547,2023,7.163636363636364,55,0.4727272727272728,NA,NE,WR_TE,NA,7.601435399149737,1.6428365229512767,-0.26648971422116174,8,30.611909650924023,MIA,1,1,2023,NE,0,1,Post,-0.7721389376709067,-0.2573061345394611,-0.2573061345394611,-0.0902986847215635,0.07920792079207914,0
00-0031549,2019,5.214285714285714,70,0.41428571428571426,NA,PHI,WR_TE,NA,7.735202054584536,1.6128011154285213,-1.563067086315236,4,26.272416153319643,PHI,0,0,2021,NE,-2,0,Pre,-0.6242215875526512,0.028790125528814575,0.028790125528814575,-0.0755746618458582,0.05666156202143951,0
00-0031549,2021,7.390625,64,0.453125,NA,NE,WR_TE,NA,7.489855865136989,1.6020349236130609,-0.061940513077701355,6,28.27378507871321,PHI,1,1,2021,NE,0,1,Post,0.5768675691049296,0.10040978132510717,0.10040978132510717,0.013672721034820118,0.0495575221238938,0
00-0031549,2022,6.830188679245283,53,0.339622641509434,NA,NE,WR_TE,NA,7.418478050087133,1.4244202753093222,-0.41300266574350697,7,29.27310061601643,NE,0,1,2021,NE,1,1,Post,-0.23067933778425942,-0.06347130386276842,-0.06347130386276842,-0.06489577408217406,0.07008547008547006,0
00-0031588,2019,11.852631578947369,95,0.5578947368421052,NA,MIN,WR_TE,NA,7.735202054584536,1.6128011154285213,2.5529679295074343,4,25.754962354551676,MIN,0,0,2021,BUF,-2,0,Pre,1.3924849216714725,0.14119758433289187,0.14119758433289187,-0.04995147162608921,0.05633802816901412,0
00-0031588,2021,7.469512195121951,164,0.5487804878048781,NA,BUF,WR_TE,NA,7.489855865136989,1.6020349236130609,-0.012698643278734961,6,27.756331279945243,MIN,1,1,2021,BUF,0,1,Post,-0.12504374761810014,0.10712845340174676,0.10712845340174676,0.06569746077182348,0.03935860058309038,0
00-0031588,2022,9.279220779220779,154,0.6038961038961039,NA,BUF,WR_TE,NA,7.418478050087133,1.4244202753093222,1.3063158123957295,7,28.75564681724846,BUF,0,1,2021,BUF,1,1,Post,0.14352950522905644,0.1372130005212895,0.1372130005212895,0.02866625881179545,0.054276315789473686,0
00-0031588,2023,7.3602484472049685,161,0.5279503105590061,NA,BUF,WR_TE,NA,7.601435399149737,1.6428365229512767,-0.14681129167465032,8,29.754962354551676,BUF,0,1,2021,BUF,2,1,Post,0.26064723764881725,0.12279099298040515,0.12279099298040515,0.0668019472069017,0.03953871499176269,0
00-0031610,2021,7.150537634408602,93,0.4623655913978494,NA,LV,WR_TE,NA,7.489855865136989,1.6020349236130609,-0.21180451544909173,6,28.966461327857633,LV,0,0,2023,NYG,-2,0,Pre,0.062662379689612,0.03290963969359598,0.03290963969359598,-0.11854561741749331,0.059612518628912065,0
00-0031610,2023,7.45945945945946,74,0.5405405405405406,NA,NYG,WR_TE,NA,7.601435399149737,1.6428365229512767,-0.08642122189688367,8,30.965092402464066,LV,1,1,2023,NYG,0,1,Post,-0.2858643423527304,-0.1922239105746758,-0.1922239105746758,-0.14536208423755953,0.1402640264026403,0
00-0031687,2022,4.9226519337016565,181,0.42541436464088395,-0.9878382243332453,MIA,RB,NA,4.614761014261113,0.7776331490005768,0.39593337788679495,7,30.39561943874059,SF,1,1,2022,MIA,0,1,Post,0.3726008480270154,0.08146287953975052,0.08146287953975052,-0.039872699188470896,0.056360708534621565,NA
00-0031687,2023,4.842105263157895,209,0.45933014354066987,17.179602537857136,MIA,RB,NA,4.250810738749992,0.7911410327522084,0.7473945857047976,8,31.394934976043807,MIA,0,1,2022,MIA,1,1,Post,2.595917735824568,0.1651352840147106,0.1651352840147106,-0.02591389414064861,0.05175292153589322,NA
00-0031941,2017,7.660194174757281,103,0.44660194174757284,NA,WAS,WR_TE,NA,7.3765744897261225,1.4996147088396286,0.18912836968011465,2,24.20807665982204,WAS,0,0,2019,NYJ,-2,0,Pre,0.6487469802751122,-0.007333273328933578,-0.007333273328933578,-0.1508211908571034,0.07056798623063686,0
00-0031941,2019,6.827868852459017,122,0.4672131147540984,NA,NYJ,WR_TE,NA,7.735202054584536,1.6128011154285213,-0.5625822015161744,4,26.206707734428473,WAS,1,1,2019,NYJ,0,1,Post,-0.4431463296890994,-0.1431093001713275,-0.1431093001713275,-0.179995827790576,0.09012131715771254,0
00-0031941,2021,6.698630136986301,73,0.547945205479452,NA,NYJ,WR_TE,NA,7.489855865136989,1.6020349236130609,-0.493887939949674,6,28.20807665982204,NYJ,0,1,2019,NYJ,2,1,Post,-0.2872743106575325,-0.128067568567163,-0.128067568567163,-0.02840066426296621,0.08018154311649027,0
00-0032009,2021,6.17741935483871,62,0.46774193548387094,NA,WAS,WR_TE,NA,7.489855865136989,1.6020349236130609,-0.8192308987486665,6,28.188911704312115,TB,1,1,2021,WAS,0,1,Post,-0.6191017117521121,-0.08178265282083282,-0.08178265282083282,-0.03075884745277646,0.07202680067001684,NA
00-0032054,2019,9.214285714285714,70,0.5,NA,TB,WR_TE,NA,7.735202054584536,1.6128011154285213,0.9170899285422337,4,25.973990417522245,BAL,1,1,2019,TB,0,1,Post,0.6864227647892366,0.05022979993629464,0.05022979993629464,-0.1232362317976404,0.06911764705882349,NA
00-0032058,2017,4.025641025641028,156,0.30128205128205127,-18.64096636699429,ATL,RB,NA,4.09639660329118,0.5770321951484448,-0.12261980916324705,2,24.37782340862423,ATL,0,0,2019,SF,-2,0,Pre,0.21325770663264573,0.13508544494629143,0.13508544494629143,-0.09249365542254141,0.04332129963898915,0.7021229566917522
00-0032058,2018,4.790419161676645,167,0.36526946107784436,-11.832123891915312,ATL,RB,NA,4.395184609052275,0.6820231336274659,0.5795031475285048,3,25.377138945927445,ATL,0,0,2019,SF,-1,0,Pre,0.5795031475285048,0.15065792855570467,0.15065792855570467,-0.09397746029441333,0.06315789473684205,0.7021229566917522
